"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 4 6 "GO:0030346" "protein phosphatase 2B binding" 1
0 1 2 18 "GO:0030371" "translation repressor activity" 1
0 1 2 39 "GO:0030374" "nuclear receptor transcription coactivator activity" 1
0 1 2 38 "GO:0030492" "hemoglobin binding" 1
0 1 3 58 "GO:0030506" "ankyrin binding" 1
0 1 3 8 "GO:0030507" "spectrin binding" 1
0 1 2 13 "GO:0030515" "snoRNA binding" 1
0 1 3 5 "GO:0030519" "snoRNP binding" 1
0 1 2 10 "GO:0030544" "Hsp70 protein binding" 1
0 1 3 27 "GO:0030546" "receptor activator activity" 1
0 1 4 20 "GO:0030551" "cyclic nucleotide binding" 1
0 1 3 13 "GO:0030552" "cAMP binding" 1
0 1 3 10 "GO:0030553" "cGMP binding" 1
0 0.367971151697047 3 64 "GO:0030594" "neurotransmitter receptor activity" 1
0 0.025029628003865 3 89 "GO:0030674;GO:0060090" "molecular adaptor activity" 1
0 1 2 8 "GO:0030676" "Rac guanyl-nucleotide exchange factor activity" 1
0 1 4 202 "GO:0030695;GO:0060589" "nucleoside-triphosphatase regulator activity" 1
0 1 3 5 "GO:0030742" "GTP-dependent protein binding" 1
0 1 9 14 "GO:0030898" "actin-dependent ATPase activity" 1
0 0.0951629979221441 3 14 "GO:0030971;GO:1990782" "receptor tyrosine kinase binding" 1
0 1 2 10 "GO:0030983" "mismatched DNA binding" 1
0 1 3 41 "GO:0031072" "heat shock protein binding" 1
0 1 2 12 "GO:0031369" "translation initiation factor binding" 1
0 1 2 5 "GO:0031370" "eukaryotic initiation factor 4G binding" 1
0 1 4 140 "GO:0031406;GO:0043177" "carboxylic acid binding" 1
0 0.0350616120813712 5 5 "GO:0031420" "alkali metal ion binding" 1
0 1 2 5 "GO:0031434" "mitogen-activated protein kinase kinase binding" 1
0 1 2 5 "GO:0031435" "mitogen-activated protein kinase kinase kinase binding" 1
0 1 2 20 "GO:0031490" "chromatin DNA binding" 1
0 1 2 6 "GO:0031491" "nucleosome binding" 1
0 1 4 20 "GO:0031593" "polyubiquitin modification-dependent protein binding" 1
0 1 2 7 "GO:0031624;GO:0044390" "ubiquitin conjugating enzyme binding" 1
0 1 4 31 "GO:0031625;GO:0044389" "ubiquitin-like protein ligase binding" 1
0 1 2 11 "GO:0031683" "G-protein beta/gamma-subunit complex binding" 1
0 1 5 12 "GO:0031690" "adrenergic receptor binding" 1
0 1 2 5 "GO:0031699" "beta-3 adrenergic receptor binding" 1
0 1 2 12 "GO:0031723;GO:0045236;GO:0042379" "chemokine receptor binding" 1
0 1 2 5 "GO:0031821" "G protein-coupled serotonin receptor binding" 1
0 1 3 13 "GO:0032027" "myosin light chain binding" 1
0 1 4 7 "GO:0032036" "myosin heavy chain binding" 1
0 1 2 6 "GO:0032050" "clathrin heavy chain binding" 1
0 1 2 7 "GO:0032135" "DNA insertion or deletion binding" 1
0 1 5 6 "GO:0032137;GO:0032138" "single base insertion or deletion binding" 1
0 1 3 55 "GO:0032182;GO:0043130" "ubiquitin-like protein binding" 1
0 1 4 6 "GO:0032217" "riboflavin transmembrane transporter activity" 1
0 1 2 20 "GO:0032266" "phosphatidylinositol-3-phosphate binding" 1
0 1 3 10 "GO:0032404;GO:0032407" "mismatch repair complex binding" 1
0 1 4 5 "GO:0032405" "MutLalpha complex binding" 1
0 1 2 13 "GO:0032451" "demethylase activity" 1
0 1 2 9 "GO:0032452" "histone demethylase activity" 1
0 1 2 8 "GO:0032794" "GTPase activating protein binding" 1
0 1 3 10 "GO:0032813" "tumor necrosis factor receptor superfamily binding" 1
0 0.243522055655462 2 39 "GO:0032934;GO:0015485" "sterol binding" 1
0 0.28060321274395 2 46 "GO:0032947" "protein-containing complex scaffold activity" 1
0 1 2 136 "GO:0033218" "amide binding" 1
0 1 3 7 "GO:0033265" "choline binding" 1
0 1 2 29 "GO:0033293" "monocarboxylic acid binding" 1
0 1 3 9 "GO:0033300;GO:0070890" "dehydroascorbic acid transmembrane transporter activity" 1
0 1 5 10 "GO:0033612;GO:0070696" "transmembrane receptor protein serine/threonine kinase binding" 1
0 1 2 15 "GO:0033613" "activating transcription factor binding" 1
0 1 6 5 "GO:0033677" "DNA/RNA helicase activity" 1
0 1 2 17 "GO:0033691" "sialic acid binding" 1
0 1 2 12 "GO:0034185" "apolipoprotein binding" 1
0 1 3 5 "GO:0034237" "protein kinase A regulatory subunit binding" 1
0 1 3 7 "GO:0034450;GO:0061630;GO:0061659" "ubiquitin protein ligase activity" 1
0 1 5 6 "GO:0034481;GO:0047756" "chondroitin sulfotransferase activity" 1
0 1 3 16 "GO:0034483" "heparan sulfate sulfotransferase activity" 1
0 1 7 8 "GO:0034595" "phosphatidylinositol phosphate 5-phosphatase activity" 1
0 1 2 5 "GO:0034596" "phosphatidylinositol phosphate 4-phosphatase activity" 1
0 1 2 33 "GO:0035064;GO:0140034" "methylated histone binding" 1
0 1 2 90 "GO:0035091" "phosphatidylinositol binding" 1
0 1 2 10 "GO:0035173" "histone kinase activity" 1
0 1 2 5 "GO:0035174" "histone serine kinase activity" 1
0 1 2 13 "GO:0035198;GO:0061980" "regulatory RNA binding" 1
0 1 4 9 "GO:0035240;GO:1901338;GO:0051379;GO:0051380" "epinephrine binding" 1
0 1 2 29 "GO:0035251;GO:0046527" "glucosyltransferase activity" 1
0 1 4 7 "GO:0035254" "glutamate receptor binding" 1
0 1 3 69 "GO:0035257;GO:0051427" "hormone receptor binding" 1
0 1 2 5 "GO:0035276" "ethanol binding" 1
0 1 3 7 "GO:0035497" "cAMP response element binding" 1
0 0.0310544848673352 3 39 "GO:0035591" "signaling adaptor activity" 1
0 1 2 5 "GO:0035612" "AP-2 adaptor complex binding" 1
0 1 3 17 "GO:0035673" "oligopeptide transmembrane transporter activity" 1
0 1 2 13 "GO:0036002" "pre-mRNA binding" 1
0 1 2 5 "GO:0036033" "mediator complex binding" 1
0 1 2 9 "GO:0036041" "long-chain fatty acid binding" 1
0 1 4 18 "GO:0036442;GO:0008553" "proton-exporting ATPase activity" 1
0 1 1 45 "GO:0038024" "cargo receptor activity" 1
0 1 4 24 "GO:0042054" "histone methyltransferase activity" 1
0 1 2 9 "GO:0042056" "chemoattractant activity" 1
0 1 2 15 "GO:0042162" "telomeric DNA binding" 1
0 1 2 28 "GO:0042165" "neurotransmitter binding" 1
0 1 3 9 "GO:0042166" "acetylcholine binding" 1
0 0.126951724757198 3 19 "GO:0042169" "SH2 domain binding" 1
0 1 3 5 "GO:0042171" "lysophosphatidic acid acyltransferase activity" 1
0 1 2 96 "GO:0042277" "peptide binding" 1
0 1 4 8 "GO:0042301" "phosphate ion binding" 1
0 1 3 5 "GO:0042328" "heparan sulfate N-acetylglucosaminyltransferase activity" 1
0 1 3 81 "GO:0042393" "histone binding" 1
0 1 2 40 "GO:0042562" "hormone binding" 1
0 1 3 11 "GO:0042605" "peptide antigen binding" 1
0 1 2 5 "GO:0042800" "histone methyltransferase activity (H3-K4 specific)" 1
0 0.795263877739164 2 582 "GO:0042802;GO:0042803;GO:0046983" "protein dimerization activity" 1
0 1 4 13 "GO:0042805" "actinin binding" 1
0 1 2 11 "GO:0042809" "vitamin D receptor binding" 1
0 1 4 16 "GO:0042813" "Wnt-activated receptor activity" 1
0 1 2 13 "GO:0042826" "histone deacetylase binding" 1
0 1 2 48 "GO:0042887" "amide transmembrane transporter activity" 1
0 1 4 13 "GO:0042895" "antibiotic transmembrane transporter activity" 1
0 1 2 11 "GO:0042923" "neuropeptide binding" 1
0 1 4 13 "GO:0042931;GO:0015343" "siderophore transmembrane transporter activity" 1
0 1 6 7 "GO:0042974" "retinoic acid receptor binding" 1
0 1 2 12 "GO:0043014" "alpha-tubulin binding" 1
0 1 5 13 "GO:0043015" "gamma-tubulin binding" 1
0 0.28060321274395 2 46 "GO:0043021" "ribonucleoprotein complex binding" 1
0 0.139358575651365 3 21 "GO:0043022" "ribosome binding" 1
0 1 3 5 "GO:0043024" "ribosomal small subunit binding" 1
0 1 3 11 "GO:0043027" "cysteine-type endopeptidase inhibitor activity involved in apoptotic process" 1
0 1 2 21 "GO:0043028" "cysteine-type endopeptidase regulator activity involved in apoptotic process" 1
0 1 2 6 "GO:0043047;GO:0098847" "single-stranded telomeric DNA binding" 1
0 1 2 8 "GO:0043138;GO:0043140" "3'-5' DNA helicase activity" 1
0 0.0951629979221441 2 14 "GO:0043139;GO:0043141" "5'-3' DNA helicase activity" 1
0 0.349502460421309 3 60 "GO:0043178" "alcohol binding" 1
0 1 2 17 "GO:0043236" "laminin binding" 1
0 1 2 9 "GO:0043295;GO:1900750" "glutathione binding" 1
0 1 2 11 "GO:0043325" "phosphatidylinositol-3,4-bisphosphate binding" 1
0 1 2 15 "GO:0043394" "proteoglycan binding" 1
0 1 2 10 "GO:0043395" "heparan sulfate proteoglycan binding" 1
0 1 5 7 "GO:0043425" "bHLH transcription factor binding" 1
0 1 2 5 "GO:0043495" "protein membrane anchor" 1
0 1 2 20 "GO:0043531" "ADP binding" 1
0 1 2 8 "GO:0043539" "protein serine/threonine kinase activator activity" 1
0 1 2 15 "GO:0043546" "molybdopterin cofactor binding" 1
0 0.0419280049085585 3 6 "GO:0043548" "phosphatidylinositol 3-kinase binding" 1
0 1 2 5 "GO:0043559" "insulin binding" 1
0 1 3 5 "GO:0043560" "insulin receptor substrate binding" 1
0 1 5 253 "GO:0043565" "sequence-specific DNA binding" 1
0 1 2 38 "GO:0043621" "protein self-association" 1
0 1 2 5 "GO:0043813" "phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity" 1
0 1 5 12 "GO:0043855;GO:0005221" "cyclic nucleotide-gated ion channel activity" 1
0 0.750813634360415 2 192 "GO:0044212;GO:0001067" "regulatory region nucleic acid binding" 1
0 1 3 5 "GO:0044325" "ion channel binding" 1
0 1 3 8 "GO:0044769;GO:0046961" "ATPase activity, coupled to transmembrane movement of ions, rotational mechanism" 1
0 0.535619715625094 2 250 "GO:0044877" "protein-containing complex binding" 1
0 1 3 5 "GO:0045159" "myosin II binding" 1
0 1 2 7 "GO:0045294" "alpha-catenin binding" 1
0 0.15159266140777 2 23 "GO:0045296" "cadherin binding" 1
0 1 2 17 "GO:0045309" "protein phosphorylated amino acid binding" 1
0 1 2 5 "GO:0045322" "unmethylated CpG binding" 1
0 1 4 5 "GO:0045485" "omega-6 fatty acid desaturase activity" 1
0 1 3 7 "GO:0045544" "gibberellin 20-oxidase activity" 1
0 1 2 7 "GO:0045545" "syndecan binding" 1
0 1 2 27 "GO:0046332" "SMAD binding" 1
0 1 2 12 "GO:0046539" "histamine N-methyltransferase activity" 1
0 1 3 12 "GO:0046624;GO:0034040;GO:0004409;GO:0015125;GO:0015431;GO:0071997;GO:0015432;GO:0033285;GO:0033284;GO:0033283;GO:0034634;GO:0042937" "sphingolipid transporter activity" 1
0 1 4 7 "GO:0046870" "cadmium ion binding" 1
0 0.597711351868267 2 578 "GO:0046872;GO:0043169" "cation binding" 1
0 1 4 13 "GO:0046875" "ephrin receptor binding" 1
0 1 3 277 "GO:0046914" "transition metal ion binding" 1
0 0.0420390876188749 2 46 "GO:0046915" "transition metal ion transmembrane transporter activity" 1
0 1 2 26 "GO:0046966" "thyroid hormone receptor binding" 1
0 1 2 140 "GO:0046982" "protein heterodimerization activity" 1
0 1 3 9 "GO:0047223" "beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity" 1
0 1 6 17 "GO:0047429" "nucleoside-triphosphate diphosphatase activity" 1
0 1 2 15 "GO:0047485" "protein N-terminus binding" 1
0 1 6 13 "GO:0047498" "calcium-dependent phospholipase A2 activity" 1
0 1 6 6 "GO:0047499" "calcium-independent phospholipase A2 activity" 1
0 1 2 7 "GO:0047555" "3',5'-cyclic-GMP phosphodiesterase activity" 1
0 1 3 80 "GO:0048018;GO:0030545" "receptor regulator activity" 1
0 1 2 6 "GO:0048027" "mRNA 5'-UTR binding" 1
0 0.315902024341319 2 53 "GO:0048029" "monosaccharide binding" 1
0 0.817105222276712 2 234 "GO:0048037" "cofactor binding" 1
0 1 2 13 "GO:0048038" "quinone binding" 1
0 1 5 10 "GO:0048256" "flap endonuclease activity" 1
0 1 2 9 "GO:0048306" "calcium-dependent protein binding" 1
0 1 2 27 "GO:0048365" "Rac GTPase binding" 1
0 1 3 12 "GO:0048407" "platelet-derived growth factor binding" 1
0 1 4 18 "GO:0048487" "beta-tubulin binding" 1
0 1 5 6 "GO:0050129" "N-formylglutamate deformylase activity" 1
0 1 6 13 "GO:0050308;GO:0019203" "carbohydrate phosphatase activity" 1
0 1 2 13 "GO:0050431" "transforming growth factor beta binding" 1
0 1 3 59 "GO:0050660" "flavin adenine dinucleotide binding" 1
0 1 2 51 "GO:0050661" "NADP binding" 1
0 1 3 167 "GO:0050662" "coenzyme binding" 1
0 1 7 17 "GO:0050681" "androgen receptor binding" 1
0 1 4 8 "GO:0050699" "WW domain binding" 1
0 1 3 8 "GO:0050750;GO:0070325" "lipoprotein particle receptor binding" 1
0 1 5 6 "GO:0050833" "pyruvate transmembrane transporter activity" 1
0 0.464612149483045 2 87 "GO:0050839" "cell adhesion molecule binding" 1
0 1 2 26 "GO:0050840" "extracellular matrix binding" 1
0 1 2 17 "GO:0050997" "quaternary ammonium group binding" 1
0 1 2 7 "GO:0051010" "microtubule plus-end binding" 1
0 1 2 58 "GO:0051015" "actin filament binding" 1
0 1 2 14 "GO:0051018" "protein kinase A binding" 1
0 1 2 9 "GO:0051019" "mitogen-activated protein kinase binding" 1
0 1 2 182 "GO:0051020;GO:0017016;GO:0031267" "GTPase binding" 1
0 1 3 9 "GO:0051059" "NF-kappaB binding" 1
0 0.440896122661447 3 81 "GO:0051082" "unfolded protein binding" 1
0 1 3 48 "GO:0051087" "chaperone binding" 1
0 1 4 7 "GO:0051117" "ATPase binding" 1
0 1 3 39 "GO:0051184" "cofactor transmembrane transporter activity" 1
0 1 3 53 "GO:0051213" "dioxygenase activity" 1
0 1 3 26 "GO:0051219" "phosphoprotein binding" 1
0 1 3 30 "GO:0051287" "NAD binding" 1
0 1 2 7 "GO:0051393" "alpha-actinin binding" 1
0 1 3 30 "GO:0051536;GO:0051540" "iron-sulfur cluster binding" 1
0 1 4 15 "GO:0051537" "2 iron, 2 sulfur cluster binding" 1
0 1 2 13 "GO:0051539" "4 iron, 4 sulfur cluster binding" 1
0 1 6 9 "GO:0051721" "protein phosphatase 2A binding" 1
0 1 2 5 "GO:0051731" "polynucleotide 5'-hydroxyl-kinase activity" 1
0 1 2 5 "GO:0051787" "misfolded protein binding" 1
0 1 3 6 "GO:0051861" "glycolipid binding" 1
0 1 2 25 "GO:0051879" "Hsp90 protein binding" 1
0 1 5 6 "GO:0051880" "G-quadruplex DNA binding" 1
0 1 3 5 "GO:0051920" "peroxiredoxin activity" 1
0 1 2 109 "GO:0052689;GO:0016298" "lipase activity" 1
0 1 5 19 "GO:0052742" "phosphatidylinositol kinase activity" 1
0 1 7 5 "GO:0052743" "inositol tetrakisphosphate phosphatase activity" 1
0 1 6 14 "GO:0052745" "inositol phosphate phosphatase activity" 1
0 1 3 15 "GO:0052866;GO:0034593" "phosphatidylinositol phosphate phosphatase activity" 1
0 1 4 8 "GO:0060590;GO:0001671" "ATPase regulator activity" 1
0 1 5 6 "GO:0061133" "endopeptidase activator activity" 1
0 1 3 57 "GO:0061134" "peptidase regulator activity" 1
0 1 2 108 "GO:0061629;GO:0140297" "DNA-binding transcription factor binding" 1
0 1 5 33 "GO:0070001" "aspartic-type peptidase activity" 1
0 1 2 23 "GO:0070002" "glutamic-type peptidase activity" 1
0 1 2 6 "GO:0070006" "metalloaminopeptidase activity" 1
0 0.826818862208991 4 437 "GO:0070011;GO:0008233" "peptidase activity" 1
0 1 3 11 "GO:0070063" "RNA polymerase binding" 1
0 1 2 8 "GO:0070273" "phosphatidylinositol-4-phosphate binding" 1
0 1 4 8 "GO:0070402" "NADPH binding" 1
0 1 2 5 "GO:0070403" "NAD+ binding" 1
0 1 2 25 "GO:0070405" "ammonium ion binding" 1
0 1 2 6 "GO:0070410" "co-SMAD binding" 1
0 1 2 10 "GO:0070491" "repressing transcription factor binding" 1
0 1 2 9 "GO:0070530" "K63-linked polyubiquitin modification-dependent protein binding" 1
0 1 5 14 "GO:0070566" "adenylyltransferase activity" 1
0 1 2 5 "GO:0070568" "guanylyltransferase activity" 1
0 1 2 6 "GO:0070569" "uridylyltransferase activity" 1
0 1 3 9 "GO:0070577;GO:0140033" "acetylation-dependent protein binding" 1
0 1 3 5 "GO:0070594" "juvenile hormone response element binding" 1
0 1 2 10 "GO:0070628" "proteasome binding" 1
0 1 4 5 "GO:0070679" "inositol 1,4,5 trisphosphate binding" 1
0 1 2 6 "GO:0070700" "BMP receptor binding" 1
0 1 4 34 "GO:0070851" "growth factor receptor binding" 1
0 1 3 18 "GO:0070888" "E-box binding" 1
0 1 2 6 "GO:0070891" "lipoteichoic acid binding" 1
0 1 2 7 "GO:0071617" "lysophospholipid acyltransferase activity" 1
0 1 4 22 "GO:0071813;GO:0071814" "lipoprotein particle binding" 1
0 1 2 7 "GO:0071889" "14-3-3 protein binding" 1
0 1 2 36 "GO:0072341" "modified amino acid binding" 1
0 1 5 7 "GO:0072345" "NAADP-sensitive calcium-release channel activity" 1
0 1 2 70 "GO:0072349" "modified amino acid transmembrane transporter activity" 1
0 1 7 10 "GO:0080025" "phosphatidylinositol-3,5-bisphosphate binding" 1
0 1 2 11 "GO:0086007;GO:0086059" "voltage-gated calcium channel activity involved in cardiac muscle cell action potential" 1
0 0.4760977453635 3 90 "GO:0090079;GO:0045182" "translation regulator activity" 1
0 1 2 26 "GO:0090482" "vitamin transmembrane transporter activity" 1
0 1 7 5 "GO:0097153" "cysteine-type endopeptidase activity involved in apoptotic process" 1
0 1 2 5 "GO:0097157" "pre-mRNA intronic binding" 1
0 1 5 71 "GO:0099094" "ligand-gated cation channel activity" 1
0 1 3 45 "GO:0099106;GO:0016247" "channel regulator activity" 1
0 1 2 16 "GO:0099528" "G protein-coupled neurotransmitter receptor activity" 1
0 1 8 8 "GO:0106018" "phosphatidylinositol-3,5-bisphosphate phosphatase activity" 1
0 1 2 62 "GO:0140030" "modification-dependent protein binding" 1
0 0.320751024297892 2 162 "GO:0140097" "catalytic activity, acting on DNA" 1
0 0.495204732553253 2 232 "GO:0140098" "catalytic activity, acting on RNA" 1
0 0.315902024341319 3 53 "GO:0140101" "catalytic activity, acting on a tRNA" 1
0 1 3 24 "GO:0140103" "catalytic activity, acting on a glycoprotein" 1
0 1 1 8 "GO:0140104" "molecular carrier activity" 1
0 0.626740298334755 1 599 "GO:0140110" "transcription regulator activity" 1
0 1 2 11 "GO:0140296" "general transcription initiation factor binding" 1
0 1 3 7 "GO:1901474" "azole transmembrane transporter activity" 1
0 1 2 35 "GO:1901505" "carbohydrate derivative transmembrane transporter activity" 1
0 1 2 70 "GO:1901618" "organic hydroxy compound transmembrane transporter activity" 1
0 1 2 106 "GO:1901681" "sulfur compound binding" 1
0 1 2 50 "GO:1901682" "sulfur compound transmembrane transporter activity" 1
0 1 5 53 "GO:1901981" "phosphatidylinositol phosphate binding" 1
0 1 2 33 "GO:1902936" "phosphatidylinositol bisphosphate binding" 1
0 1 2 35 "GO:1904680" "peptide transmembrane transporter activity" 1
0 1 2 122 "GO:1990837" "sequence-specific double-stranded DNA binding" 1
